t,x,xd,xdd,
4.15,-0.0863645,-0.0544507,0.0863645,
4.16,-0.086909,-0.0535871,0.086909,
4.17,-0.0874449,-0.052718,0.0874449,
4.18,-0.0879721,-0.0518435,0.0879721,
4.19,-0.0884905,-0.0509638,0.0884905,
4.2,-0.0890001,-0.0500789,0.0890001,
4.21,-0.0895009,-0.0491889,0.0895009,
4.22,-0.0899928,-0.0482939,0.0899928,
4.23,-0.0904758,-0.047394,0.0904758,
4.24,-0.0909497,-0.0464892,0.0909497,
4.25,-0.0914146,-0.0455797,0.0914146,
4.26,-0.0918704,-0.0446656,0.0918704,
4.27,-0.092317,-0.0437469,0.092317,
4.28,-0.0927545,-0.0428237,0.0927545,
4.29,-0.0931827,-0.0418962,0.0931827,
4.3,-0.0936017,-0.0409643,0.0936017,
4.31,-0.0940114,-0.0400283,0.0940114,
4.32,-0.0944116,-0.0390882,0.0944116,
4.33,-0.0948025,-0.0381441,0.0948025,
4.34,-0.095184,-0.0371961,0.095184,
4.35,-0.0955559,-0.0362442,0.0955559,
4.36,-0.0959184,-0.0352887,0.0959184,
4.37,-0.0962712,-0.0343295,0.0962712,
4.38,-0.0966145,-0.0333668,0.0966145,
4.39,-0.0969482,-0.0324006,0.0969482,
4.4,-0.0972722,-0.0314311,0.0972722,
4.41,-0.0975865,-0.0304584,0.0975865,
4.42,-0.0978911,-0.0294826,0.0978911,
4.43,-0.0981859,-0.0285036,0.0981859,
4.44,-0.098471,-0.0275218,0.098471,
4.45,-0.0987462,-0.0265371,0.0987462,
4.46,-0.0990116,-0.0255496,0.0990116,
4.47,-0.0992671,-0.0245595,0.0992671,
4.48,-0.0995127,-0.0235668,0.0995127,
4.49,-0.0997483,-0.0225717,0.0997483,
4.5,-0.099974,-0.0215742,0.099974,
4.51,-0.10019,-0.0205745,0.10019,
4.52,-0.100396,-0.0195726,0.100396,
4.53,-0.100591,-0.0185686,0.100591,
4.54,-0.100777,-0.0175627,0.100777,
4.55,-0.100953,-0.0165549,0.100953,
4.56,-0.101118,-0.0155454,0.101118,
4.57,-0.101274,-0.0145342,0.101274,
4.58,-0.101419,-0.0135215,0.101419,
4.59,-0.101554,-0.0125073,0.101554,
4.6,-0.101679,-0.0114918,0.101679,
4.61,-0.101794,-0.010475,0.101794,
4.62,-0.101899,-0.00945704,0.101899,
4.63,-0.101993,-0.00843805,0.101993,
4.64,-0.102078,-0.00741811,0.102078,
4.65,-0.102152,-0.00639734,0.102152,
4.66,-0.102216,-0.00537582,0.102216,
4.67,-0.10227,-0.00435366,0.10227,
4.68,-0.102313,-0.00333096,0.102313,
4.69,-0.102347,-0.00230783,0.102347,
4.7,-0.10237,-0.00128436,0.10237,
4.71,-0.102382,-0.000260663,0.102382,
4.72,-0.102385,0.000763162,0.102385,
4.73,-0.102377,0.00178701,0.102377,
4.74,-0.10236,0.00281079,0.10236,
4.75,-0.102331,0.00383438,0.102331,
4.76,-0.102293,0.0048577,0.102293,
4.77,-0.102245,0.00588063,0.102245,
4.78,-0.102186,0.00690308,0.102186,
4.79,-0.102117,0.00792493,0.102117,
4.8,-0.102037,0.0089461,0.102037,
4.81,-0.101948,0.00996648,0.101948,
4.82,-0.101848,0.010986,0.101848,
4.83,-0.101739,0.0120044,0.101739,
4.84,-0.101618,0.0130218,0.101618,
4.85,-0.101488,0.014038,0.101488,
4.86,-0.101348,0.0150529,0.101348,
4.87,-0.101197,0.0160664,0.101197,
4.88,-0.101037,0.0170783,0.101037,
4.89,-0.100866,0.0180887,0.100866,
4.9,-0.100685,0.0190974,0.100685,
4.91,-0.100494,0.0201042,0.100494,
4.92,-0.100293,0.0211092,0.100293,
4.93,-0.100082,0.0221121,0.100082,
4.94,-0.0998608,0.0231129,0.0998608,
4.95,-0.0996296,0.0241115,0.0996296,
4.96,-0.0993885,0.0251078,0.0993885,
4.97,-0.0991374,0.0261017,0.0991374,
4.98,-0.0988764,0.0270931,0.0988764,
4.99,-0.0986055,0.0280818,0.0986055,
5,-0.0983247,0.0290679,0.0983247,
